,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
48,Billie Eilish,come out and play,7wC5eZcFS1Q1BsQ35DU6H4,87,0.693,0.64,210376,0.321,0.0307,0,0.114,-14.604,1,0.0931,145.045,4,0.177
49,Ariana Grande,God is a woman,5OCJzvD7sykQEKHH7qAC3C,88,0.0233,0.602,197547,0.658,6e-05,1,0.237,-5.934,1,0.0558,145.031,4,0.268
50,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,88,0.0332,0.754,198973,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357
51,Travis Scott,STARGAZING,7wBJfHzpfI3032CSD7CE2m,85,0.00947,0.487,270715,0.789,4.05e-06,8,0.189,-3.69,1,0.044,150.007,4,0.0564
52,6ix9ine,TIC TOC (feat. Lil Baby),4m5Cd9kAbIxg6t9sMrQWtk,86,0.0115,0.82,135739,0.691,0.0,6,0.344,-6.646,0,0.0723,142.027,4,0.683
53,Bazzi,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,88,0.346,0.638,180000,0.717,0.0,2,0.105,-4.722,1,0.0337,100.027,4,0.249
54,6ix9ine,KIKA (feat. Tory Lanez),6Gy7rXB6Ku5vIWC7WGWsl3,86,0.128,0.745,136032,0.715,0.0,1,0.182,-3.368,0,0.245,94.513,4,0.342
55,Travis Scott,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,84,0.283,0.785,150043,0.554,3.4e-06,0,0.116,-6.571,1,0.0409,128.047,4,0.144
56,Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,83,0.0079,0.825,175954,0.572,0.0,6,0.113,-6.067,0,0.0864,141.991,4,0.568
57,Lil Wayne,Uproar,3wScL5W8H40zzCKN0atfBk,82,0.0595,0.743,194184,0.87,0.0,1,0.299,-2.188,1,0.212,99.075,4,0.884
58,Ariana Grande,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,88,0.04,0.699,205920,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354
59,Lil Peep,Falling Down - Bonus Track,4jvjzW7Hm0yK4LvvE0Paz9,87,0.0175,0.669,196400,0.574,0.00294,4,0.146,-6.442,0,0.0286,120.013,4,0.273
60,BlocBoy JB,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,84,0.00104,0.922,181263,0.581,5.86e-05,10,0.105,-7.495,1,0.27,140.022,4,0.595
61,Zara Larsson,Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,90,0.423,0.665,190932,0.699,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585
62,6ix9ine,"MAMA (feat. Nicki Minaj, Kanye West)",1oJ8EDr2pv94IvSd6ZmDgo,85,0.0893,0.761,192405,0.672,9.77e-06,1,0.14,-5.887,1,0.212,160.077,3,0.437
63,Travis Scott,SICKO MODE - Skrillex Remix,0u695M7KyzXaPIjpEbxOkB,74,0.0184,0.636,304498,0.824,0.0,1,0.136,-3.426,1,0.139,155.056,4,0.452
64,Steve Aoki,Waste It On Me (feat. BTS),2r1T6xGTVaNAqBoPH4lZEE,87,0.252,0.669,192537,0.684,0.0,7,0.72,-4.595,1,0.0585,96.097,4,0.466
65,6ix9ine,STOOPID,1jQvUmf16VE9WQCPuK2e8K,84,0.13,0.733,152000,0.63,0.0,11,0.162,-4.296,1,0.395,149.989,4,0.832
66,6ix9ine,WAKA (feat. A Boogie Wit da Hoodie),6o79O9qBP3OAkWOXajAQIS,83,0.0834,0.772,128769,0.812,0.0,0,0.115,-3.995,0,0.153,97.407,4,0.655
67,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,85,0.0891,0.586,210747,0.909,0.000109,8,0.119,-6.474,1,0.0705,93.394,4,0.757
68,Ella Mai,Trip,6CTWathupIiDs7U4InHnDA,83,0.225,0.477,213993,0.61,0.0,11,0.107,-5.628,0,0.144,79.882,4,0.358
69,Quavo,WORKIN ME,33tNYw9oMtSkGe27NpgS64,81,0.182,0.79,169620,0.629,7.06e-06,8,0.338,-4.055,1,0.142,170.023,4,0.267
70,Khalid,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,85,0.0956,0.708,201707,0.648,0.0,6,0.134,-5.626,1,0.0449,143.955,4,0.338
71,XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,83,0.661,0.592,110886,0.457,0.000331,9,0.146,-6.081,0,0.0603,146.04,4,0.225
72,Kygo,Happy Now (feat. Sandro Cavazza),14sOS5L36385FJ3OL8hew4,89,0.374,0.693,211362,0.575,0.0,9,0.252,-6.998,1,0.0801,117.999,4,0.492
73,Rich The Kid,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,83,0.202,0.876,175230,0.519,0.0,11,0.108,-6.531,1,0.143,94.981,4,0.158
74,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,88,0.0969,0.574,182623,0.758,0.0,1,0.395,-5.029,0,0.0621,144.111,4,0.492
75,Imagine Dragons,Bad Liar,2RSHsoi04658QL5xgQVov3,89,0.0722,0.383,260773,0.637,0.0,3,0.368,-6.993,1,0.0703,177.913,4,0.0827
76,Little Mix,Woman Like Me (feat. Nicki Minaj),6rrTr2HEAzlpC4KWZxF3S1,89,0.173,0.757,228207,0.849,0.0,5,0.0878,-3.424,0,0.0536,150.036,4,0.826
77,Ava Max,Sweet but Psycho,25sgk305KZfyuqVBQIahim,93,0.0691,0.719,187436,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,4,0.628
78,XXXTENTACION,the remedy for a broken heart (why am I so in love),4UKCKdYiLN6IMA5ZESUTL7,84,0.779,0.699,160184,0.304,0.000993,1,0.137,-11.192,1,0.0993,119.705,4,0.271
79,Dean Lewis,Be Alright,3EPXxR3ImUwfayaurPi3cm,92,0.697,0.553,196373,0.586,0.0,11,0.0813,-6.319,1,0.0362,126.684,4,0.443
80,Lil Baby,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,80,0.044,0.665,203881,0.585,0.0,10,0.0789,-5.077,0,0.366,158.953,4,0.658
81,Nio Garcia,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,89,0.542,0.903,417920,0.675,1.28e-05,11,0.0595,-3.445,0,0.214,96.507,4,0.442
82,A$AP Rocky,Praise The Lord (Da Shine),7ycWLEP1GsNjVvcjawXz3z,85,0.0609,0.85,205040,0.569,0.0816,5,0.1,-8.152,0,0.136,80.02,4,0.294
83,Dua Lipa,Kiss and Make Up,7jr3iPu4O4bTCVwLMbdU2i,90,0.0658,0.678,189173,0.729,0.0,8,0.303,-4.188,1,0.137,99.895,4,0.643
84,Metro Boomin,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ,82,0.588,0.81,208293,0.353,0.0,6,0.102,-9.931,0,0.31,88.031,4,0.0727
85,Eminem,Killshot,1jo3TwNGCXfNdB5uba3ZVv,84,0.0989,0.892,253580,0.651,0.0,0,0.371,-8.645,0,0.378,105.814,4,0.599
86,Future,Hard Work Pays Off,6gzIcEUuswJQGfJNPYMjjv,81,0.327,0.736,224507,0.482,0.0,4,0.229,-8.242,1,0.196,140.064,4,0.608
87,Lil Baby,Time (feat. Meek Mill),1Szfm2XAx3Kgl55dyl8sTU,75,0.0438,0.785,182723,0.495,0.0,8,0.218,-8.844,1,0.586,95.348,4,0.342
88,Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,74,0.00163,0.964,154024,0.496,5.04e-06,1,0.115,-6.114,1,0.424,127.036,4,0.107
89,Mac Miller,Self Care,5bJ1DrEM4hNCafcDd1oxHx,81,0.367,0.52,345133,0.538,0.00187,1,0.119,-8.109,1,0.206,141.894,4,0.177
90,Bazzi,Mine,7uzmGiiJyRfuViKKK3lVmR,83,0.0161,0.71,131064,0.789,2.77e-06,4,0.451,-3.874,1,0.0722,142.929,4,0.717
91,Lady Gaga,Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,87,0.416,0.575,217213,0.33,0.0,7,0.0872,-6.557,1,0.031,95.801,4,0.277
92,Juice WRLD,Legends,1Knctxx9vGZxpZfF66BIEa,81,0.115,0.594,191840,0.798,0.0,4,0.143,-5.244,1,0.0844,142.049,4,0.381
93,Khalid,Saturday Nights,7vGGAJBkHKxKtOnGjQduDV,84,0.635,0.54,209547,0.439,1.93e-05,10,0.0993,-8.591,1,0.115,167.908,4,0.371
94,Lil Baby,Ready (feat. Gunna),4F6yN5FsFW10Ucx7cLCzBh,73,0.297,0.795,213287,0.4,1.55e-05,1,0.108,-5.858,1,0.327,77.016,4,0.105
95,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,83,0.259,0.889,180522,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,4,0.544
96,Lil Mosey,Kamikaze,1iPBD72u3nAyFEeardYuBV,81,0.301,0.792,139200,0.571,0.0,8,0.1,-7.539,0,0.094,99.999,4,0.556
97,Maroon 5,Girls Like You (feat. Cardi B),6FRLCMO5TUHTexlWo8ym1W,89,0.568,0.851,235545,0.541,0.0,0,0.13,-6.825,1,0.0505,124.959,4,0.448
98,Billie Eilish,you should see me in a crown,6vsV4D8BM6PioRr1UOx0n2,83,0.479,0.697,180567,0.552,0.127,1,0.147,-10.271,0,0.196,75.235,4,0.278
99,6ix9ine,KANGA (feat. Kanye West),0EwS8XJQspgrj1zSUXhFkl,80,0.0192,0.901,132331,0.598,0.0,1,0.0791,-6.934,1,0.17,117.9,4,0.355
100,Famous Dex,JAPAN,5PTG6rrL6EPFD9E2QMI2pl,80,0.121,0.733,142000,0.678,0.0,6,0.344,-7.771,1,0.438,175.985,4,0.841
101,Lil Baby,Global,7cW1wHpSLYgKWzoWlOCPFJ,72,0.116,0.683,169826,0.57,0.0,1,0.113,-6.68,1,0.437,163.855,4,0.307
102,Juice WRLD,Black & White,1R0Ig5KYrSGWvIoPzY4T3l,80,0.0802,0.776,186945,0.736,0.0,7,0.159,-4.612,1,0.247,147.946,4,0.233
103,Lil Baby,Word On The Street,52i143Ph5c3RQaQFBXWix1,71,0.0634,0.888,172986,0.437,0.0,10,0.112,-9.284,0,0.109,99.955,4,0.162
104,Lil Wayne,Don't Cry (feat. XXXTENTACION),5BQrp63SHCVf4bzCzJePne,80,0.409,0.585,249450,0.709,0.0,8,0.183,-6.072,1,0.319,111.913,4,0.21
105,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,81,0.544,0.515,209274,0.479,0.00598,3,0.191,-7.458,1,0.0261,88.964,4,0.284
106,Young Thug,Sin (feat. Jaden Smith),1Jl21sidRpEdlVBvYbssLx,80,0.00544,0.889,202533,0.385,0.0,11,0.274,-11.767,0,0.165,125.995,4,0.235
107,Khalid,OTW,6Hgh47WXVKtXN5zGOu0hjI,82,0.183,0.652,263014,0.678,3.26e-05,2,0.106,-6.183,1,0.0541,72.989,4,0.28
108,Trippie Redd,Taking A Walk,4mHgYpuGHu99Mw69E83CP2,80,0.68,0.767,121680,0.538,0.0,0,0.192,-6.044,0,0.052,81.031,4,0.343
109,5 Seconds of Summer,Youngblood,55S2PQgSMYAhgoTCcGCDfw,85,0.0169,0.596,203418,0.854,0.0,7,0.124,-5.114,0,0.463,120.274,4,0.152
110,Lil Baby,Realist In It (feat. Gucci Mane & Offset),2WqTKOAUmv7hz9ZzGnXHrY,70,0.217,0.936,222958,0.663,0.0,1,0.12,-7.691,0,0.366,109.949,4,0.708
111,Migos,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,82,0.0739,0.909,276147,0.628,0.0,2,0.108,-5.456,1,0.201,145.905,4,0.406
112,YNW Melly,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,78,0.145,0.759,268434,0.73,3.06e-06,0,0.11,-7.985,0,0.0516,115.007,4,0.74
113,Travis Scott,BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,82,0.0531,0.763,190557,0.628,0.0,11,0.114,-5.85,1,0.05,140.958,4,0.193
114,Lil Baby,This Week,3yIZgYN7AKO3cDueyhpuCS,70,0.00221,0.885,196864,0.515,0.0,10,0.0885,-7.662,0,0.213,133.104,4,0.134
115,Takeoff,Casper,1B4gJRq61xTs6r1O0Uq2iY,80,0.525,0.921,197079,0.607,1.12e-06,1,0.123,-7.397,1,0.209,140.071,4,0.753
116,Lil Baby,Anyway (feat. 2 Chainz & Gucci Mane),3zxiTHxE4MxwuYf8aLQ9ax,70,0.0513,0.87,226647,0.543,0.0,2,0.261,-6.053,1,0.417,140.104,4,0.223
117,Lil Baby,Section 8 (feat. Young Thug),6XeZ32B9HbV6ZrU6NTR2iM,69,0.234,0.677,206524,0.522,0.0,0,0.148,-6.237,0,0.399,139.726,4,0.69
118,Imagine Dragons,Natural,2FY7b99s15jUprqC0M5NCT,88,0.217,0.704,189467,0.611,0.0,2,0.0812,-6.112,1,0.0409,100.0,4,0.22
119,6ix9ine,FEEFA (feat. Gunna),26jYPsHHSOxCTz4cLt6SbQ,78,0.0412,0.754,163086,0.728,0.0,6,0.106,-7.61,0,0.0809,140.007,4,0.594
120,Khalid,Suncity (feat. Empress Of),6SkHm6poyKfzV6kc9any8k,84,0.0998,0.694,189493,0.63,0.000635,7,0.12,-6.84,0,0.162,90.045,4,0.341
121,Post Malone,Candy Paint,32lItqlMi4LBhb4k0BaSaC,81,0.627,0.67,227533,0.654,1.02e-06,4,0.071,-5.944,1,0.153,180.024,4,0.438
122,Lil Baby,No Friends (feat. Rylo Rodriguez),6pidGCJ9El17HdXaPO0OO2,68,0.000974,0.498,192009,0.578,1.37e-06,7,0.0838,-7.001,1,0.308,159.933,4,0.463
123,Lil Baby,Chastised,0I1gjYB0yjwYXBn9SVOh3n,68,0.0655,0.778,123429,0.64,0.0,7,0.167,-4.643,1,0.0341,140.021,4,0.175
124,Comethazine,Walk,21kOVEG3bDCVphKhXL8XmQ,79,0.221,0.831,96064,0.795,0.0,1,0.291,-6.186,1,0.264,160.063,4,0.744
125,DJ Khaled,No Brainer,5WvAo7DNuPRmk4APhdPzi8,85,0.0733,0.552,260000,0.76,0.0,0,0.0865,-4.706,1,0.342,135.702,5,0.639
126,Lil Baby,Dreams 2 Reality (feat. NoCap),3xibgHbKeEgSSAXR5z3cwt,67,0.138,0.517,275849,0.613,0.0,2,0.117,-6.809,1,0.347,83.176,4,0.543
127,Trippie Redd,Love Scars 3,0AcicReEGm1qcENjqzh1Tg,79,0.136,0.544,129429,0.524,0.0,8,0.106,-7.914,1,0.0621,81.982,4,0.117
128,Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,91,0.371,0.572,215733,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,4,0.323
129,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),7IBSffWIu7P2MC7kMwy2FM,79,0.307,0.877,226743,0.477,0.0,9,0.0929,-7.379,0,0.0587,127.023,4,0.552
130,Rita Ora,Let You Love Me,6xtcFXSo8H9BZN637BMVKS,90,0.288,0.531,190000,0.854,0.0,10,0.0773,-3.149,1,0.198,94.419,4,0.456
131,Billie Eilish,bitches broken hearts,5t3Vk8bRKylx4fjj7qlbib,82,0.919,0.777,176472,0.422,0.00877,0,0.0958,-10.114,1,0.0482,120.041,4,0.187
132,Tiësto,Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,86,0.374,0.747,215760,0.834,0.0,3,0.0586,-2.867,0,0.045,128.005,4,0.687
133,Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,78,0.676,0.552,193200,0.402,0.0,11,0.0928,-7.431,1,0.0262,103.313,4,0.382
134,6ix9ine,BEBE,7ATATJztoWLcqDAcVVof0C,90,0.172,0.635,217822,0.902,0.0,0,0.125,-3.559,1,0.109,102.063,4,0.286
135,Tory Lanez,FeRRis WhEEL (feat. Trippie Redd),6j97zG4DDrh3oUa6rZbFOs,79,0.0835,0.807,151649,0.602,0.0,11,0.151,-5.005,1,0.274,95.031,4,0.252
136,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,78,0.191,0.674,153800,0.649,0.0,1,0.122,-8.433,0,0.199,153.069,4,0.48
137,Drake,Mob Ties,7rC5Pl8rQSX4myONQHYPBK,80,0.0456,0.755,205147,0.575,0.00124,4,0.276,-8.393,0,0.0678,85.987,4,0.49
138,Lauv,There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,85,0.49,0.755,174861,0.625,0.0,2,0.157,-7.114,1,0.0896,147.02,4,0.374
139,6ix9ine,MALA (feat. Anuel Aa),0LQ1J0BCzA2qnAgp9MkkNE,81,0.689,0.719,206550,0.825,0.0,5,0.103,-3.627,0,0.0424,100.006,4,0.789
140,Eminem,The Ringer,2jt2WxXMCD4zjACthkJQVE,82,0.0311,0.939,337941,0.551,0.0,1,0.192,-9.126,1,0.291,118.552,4,0.42
141,Metro Boomin,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom,80,0.00661,0.87,168347,0.35,0.000483,1,0.108,-6.082,1,0.277,74.963,4,0.175
142,Young Thug,Chanel (Go Get It) [feat. Gunna & Lil Baby],0kCBorRrKZkSztd9m0QI3r,79,0.00183,0.938,201707,0.5,0.0,4,0.077,-10.08,0,0.144,140.011,4,0.462
143,Lil Baby,Life Goes On,2bSk87AVkCIIC3Bcligq1z,78,0.0021,0.716,247055,0.541,0.0,1,0.115,-7.909,1,0.149,139.978,4,0.387
144,Juice WRLD,Wasted (feat. Lil Uzi Vert),3VFZTYhwAsxTDTiHlm3n1k,78,0.0381,0.742,258475,0.579,0.0,0,0.0952,-5.024,1,0.202,144.994,4,0.502
145,Drake,I'm Upset,3qN5qMTKyEEmiTZD38BNTT,80,0.279,0.899,214467,0.586,0.0,11,0.0836,-7.866,0,0.344,150.001,4,0.492
146,Calvin Harris,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,92,0.0119,0.781,213309,0.768,4.91e-06,11,0.325,-5.991,1,0.0394,123.07,4,0.486
147,Post Malone,Ball For Me (feat. Nicki Minaj),6IaieqiCVvsNvEt6Y7yOFa,80,0.493,0.792,206267,0.56,0.0,9,0.0849,-4.125,1,0.225,134.044,4,0.505
148,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,1BuZAIO8WZpavWVbbq3Lci,79,0.0168,0.713,332301,0.831,0.0,1,0.118,-4.75,0,0.15,173.948,4,0.584
149,Kodak Black,Calling My Spirit,6bXSYxP6WDlNCr6Jk1H3MW,73,0.0927,0.908,152000,0.365,0.0,1,0.261,-9.954,1,0.0942,119.977,4,0.742
150,Post Malone,Stay,4H7WNRErSbONkM06blBoGc,80,0.414,0.479,204427,0.468,0.0,5,0.148,-5.396,1,0.0274,85.913,4,0.35
