,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_id,genres,artist_popularity,image
11,Gucci Mane,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,90,0.00381,0.8,204665,0.578,0.0,E,0.359,-5.144,Major,0.0485,143.01,4,0.367,13y7CgLHjMVRMDqxdx0Xdo,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",88,https://i.scdn.co/image/e8eeadc5509005396978782adedc3cb3e924bc4d
12,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,91,0.258,0.74,166606,0.613,0.00372,"G♯, A♭",0.123,-4.88,Minor,0.145,75.023,4,0.473,15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop']",98,https://i.scdn.co/image/80eeb2600b7b7eddbef44bcc1fbc87aac9ab2e59
13,Billie Eilish,when the party's over,14JzyD6FlBD5z0wV5P07YI,93,0.979,0.498,199931,0.104,7.86e-05,"C♯, D♭",0.0895,-14.08,Major,0.0621,124.001,3,0.205,6qqNVTkY8uBg9cP3Jd7DAH,"['dance pop', 'electropop', 'pop']",93,https://i.scdn.co/image/224ac4debc13b5e6d2887e524e47da5920551dc6
14,Bad Bunny,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,96,0.0141,0.817,210368,0.539,0.000496,"F♯, G♭",0.099,-6.349,Major,0.0621,97.062,4,0.158,4q3ewBCX7sLwd24euuV69X,"['reggaeton', 'trap latino']",94,https://i.scdn.co/image/22590f4021a00d1cad0821cc46a54395960342ee
15,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,91,0.556,0.921,135090,0.537,0.00404,A,0.102,-5.723,Major,0.0804,128.009,4,0.711,15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop']",98,https://i.scdn.co/image/80eeb2600b7b7eddbef44bcc1fbc87aac9ab2e59
16,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,98,0.153,0.841,212500,0.798,3.33e-06,"C♯, D♭",0.0618,-4.206,Major,0.229,95.948,4,0.591,540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop', 'tropical house']",89,https://i.scdn.co/image/def80dfa0d75793a66186b237f6f89051028f0d1
17,Flipp Dinero,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,87,0.107,0.792,195637,0.743,0.0,G,0.183,-2.806,Minor,0.0851,150.024,4,0.742,2HUwZ0kumzCSlhFcjFZfpp,"['trap music', 'vapor trap']",76,https://i.scdn.co/image/0e7da0bf06635fcfeeea1f0139eaf19ab584b6c8
18,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,93,0.0302,0.703,198903,0.723,2.06e-06,A,0.126,-5.45,Major,0.0412,104.969,4,0.288,15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop']",98,https://i.scdn.co/image/80eeb2600b7b7eddbef44bcc1fbc87aac9ab2e59
19,Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK,91,0.354,0.68,231267,0.563,0.0,"A♯, B♭",0.136,-5.843,Minor,0.0454,145.028,4,0.374,246dkjvS1zLTtiykXe5h60,"['pop', 'rap']",96,https://i.scdn.co/image/2ea5bde13cd67a16318e0f7fc6e2c37906ea6529
20,Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct,88,0.0164,0.912,238614,0.412,0.013,G,0.104,-8.074,Minor,0.124,154.983,4,0.422,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",100,https://i.scdn.co/image/012ecd119617ac24ab56620ace4b81735b172686
21,Juice WRLD,Armed And Dangerous,6SAKXCj5jyF6IgPCPbZ5ra,87,0.186,0.736,169999,0.67,0.0,"A♯, B♭",0.114,-6.702,Minor,0.311,130.032,4,0.845,4MCBfE4596Uoi2O4DtmEMz,"['rap', 'trap music']",93,https://i.scdn.co/image/720efb5ff3d6a50ef776a4e01cb1f182962b0f20
22,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,89,0.088,0.931,179405,0.387,0.0,"C♯, D♭",0.136,-9.127,Minor,0.412,125.978,4,0.376,7gZfnEnfiaHzxARJ2LeXrf,['emo rap'],94,https://i.scdn.co/image/7d241987c2f5c33548644e6f85bd619aadae9822
23,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,86,0.0716,0.757,194732,0.69,0.0,"C♯, D♭",0.192,-5.327,Major,0.282,132.064,4,0.914,5f7VJjfbwm532GiveGC0ZK,"['atl hip hop', 'pop rap', 'rap', 'trap music']",93,https://i.scdn.co/image/403df12fa0cc0bfead6a0150e1c47e6d2dfce21e
24,Tyga,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,90,0.0236,0.884,232959,0.559,0.0,C,0.101,-7.442,Minor,0.12,97.994,4,0.342,5LHRHt1k9lMyONurDHEdrp,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",87,https://i.scdn.co/image/01f30cfdd39a885fa8e630670b535ab32c8b18eb
25,Future,Fine China,5274I4mUMnYczyeXkGDWZN,86,0.0484,0.656,141587,0.542,0.0,G,0.126,-7.358,Minor,0.323,166.111,4,0.551,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",91,https://i.scdn.co/image/73b8cb3a941edc26d280a8df971229d1b31e6b5a
26,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,85,0.035,0.964,142273,0.346,0.0,F,0.108,-9.309,Major,0.53,119.958,4,0.562,5f7VJjfbwm532GiveGC0ZK,"['atl hip hop', 'pop rap', 'rap', 'trap music']",93,https://i.scdn.co/image/403df12fa0cc0bfead6a0150e1c47e6d2dfce21e
27,benny blanco,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,92,0.555,0.56,173800,0.68,0.0,"F♯, G♭",0.116,-7.648,Major,0.321,89.391,4,0.319,5CiGnKThu5ctn9pBxv7DGa,['pop'],84,https://i.scdn.co/image/4fbb93866c895d1b5c1a6a9a6c03ee248512f669
28,Khalid,Better,6zeeWid2sgw4lap2jV61PZ,86,0.0765,0.596,229320,0.552,0.334,C,0.104,-10.278,Major,0.097,97.949,4,0.112,6LuN9FCkKOj5PcnpouEgny,"['indie r&b', 'pop']",96,https://i.scdn.co/image/e52c824585bfeef4d674b509437120805300f557
29,Cardi B,Money,2GGMabyHXnJmjY6CXhhB2e,86,0.00534,0.95,183527,0.59,0.0,"G♯, A♭",0.11,-6.508,Major,0.29,130.003,4,0.219,4kYSro6naA4h99UJvo89HB,"['pop', 'rap']",95,https://i.scdn.co/image/264e844105a9b9da0c3bc8b49eb40e3d61a49089
30,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,89,0.934,0.351,200186,0.296,0.0,E,0.095,-10.109,Major,0.0333,115.284,4,0.12,6qqNVTkY8uBg9cP3Jd7DAH,"['dance pop', 'electropop', 'pop']",93,https://i.scdn.co/image/224ac4debc13b5e6d2887e524e47da5920551dc6
31,Kanye West,I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,90,0.0114,0.901,127947,0.522,0.0,D,0.259,-8.304,Minor,0.33,104.053,4,0.329,5K4W6rqBFWDnAN6FQUkS6x,"['pop rap', 'rap']",92,https://i.scdn.co/image/a12d8543e28d71d9f1e7f5f363c1a6c73316f9e6
32,6ix9ine,TIC TOC (feat. Lil Baby),4m5Cd9kAbIxg6t9sMrQWtk,87,0.0115,0.82,135739,0.691,0.0,"F♯, G♭",0.344,-6.646,Major,0.0723,142.027,4,0.683,7gZfnEnfiaHzxARJ2LeXrf,['emo rap'],94,https://i.scdn.co/image/7d241987c2f5c33548644e6f85bd619aadae9822
33,Juice WRLD,All Girls Are The Same,0XySogm94T51XF5F2jumXm,85,0.0769,0.671,165820,0.529,0.000335,C,0.0856,-7.226,Minor,0.307,161.989,4,0.203,4MCBfE4596Uoi2O4DtmEMz,"['rap', 'trap music']",93,https://i.scdn.co/image/720efb5ff3d6a50ef776a4e01cb1f182962b0f20
34,Drake,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,90,0.0589,0.835,217925,0.626,6e-05,"C♯, D♭",0.396,-5.833,Minor,0.125,91.03,4,0.35,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",100,https://i.scdn.co/image/012ecd119617ac24ab56620ace4b81735b172686
35,Ariana Grande,breathin,4OafepJy2teCjYJbvFE60J,89,0.0211,0.568,198160,0.656,1.37e-05,"G♯, A♭",0.213,-5.413,Minor,0.0433,100.049,4,0.364,66CXWjxzNUsdJxJ2JdwvnR,"['dance pop', 'pop', 'post-teen pop']",97,https://i.scdn.co/image/25dd6de55a74237ae84e1b53e083bbd5aadade39
36,6ix9ine,KIKA (feat. Tory Lanez),6Gy7rXB6Ku5vIWC7WGWsl3,87,0.128,0.745,136032,0.715,0.0,"C♯, D♭",0.182,-3.368,Major,0.245,94.513,4,0.342,7gZfnEnfiaHzxARJ2LeXrf,['emo rap'],94,https://i.scdn.co/image/7d241987c2f5c33548644e6f85bd619aadae9822
37,Trippie Redd,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,85,0.00587,0.755,215364,0.615,1.75e-06,E,0.109,-8.245,Minor,0.0454,105.955,4,0.039,6Xgp2XMz1fhVYe7i6yNAax,"['rap', 'trap music']",91,https://i.scdn.co/image/2f823529f36b5a5b5e3888aae597cdd6b010856e
38,LAY,NAMANANA,5SCE6bkrXysjBSShvhOkAa,81,0.00688,0.796,208887,0.86,0.0,"A♯, B♭",0.346,-4.858,Major,0.0982,110.016,4,0.816,4o7tWrzQOqarDtTMWD2HV9,"['chinese electropop', 'k-pop']",72,https://i.scdn.co/image/36c43f735b9c5eff31d20ddab5becb5e632be41b
39,French Montana,No Stylist,04MLEeAMuV9IlHEsD8vF6A,88,0.0215,0.765,192172,0.704,0.0,F,0.227,-4.589,Major,0.127,147.055,4,0.498,6vXTefBL93Dj5IqAWq6OTv,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",87,https://i.scdn.co/image/dff7f6882667ab9a7b9a8772831ca060e9fc75c8
40,Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,85,0.259,0.889,180522,0.496,0.0,E,0.252,-6.365,Major,0.0905,86.003,4,0.544,20sxb77xiYeusSH8cVdatc,"['hip hop', 'pop', 'pop rap', 'rap', 'trap music']",89,https://i.scdn.co/image/b217f364eae67b267b38bf46887f74437ebac006
41,Juice WRLD,Lean Wit Me,29tc0GbW0pTSBZSCZF3NWk,84,0.0414,0.665,175755,0.651,0.0,"C♯, D♭",0.0896,-5.515,Minor,0.156,163.935,4,0.237,4MCBfE4596Uoi2O4DtmEMz,"['rap', 'trap music']",93,https://i.scdn.co/image/720efb5ff3d6a50ef776a4e01cb1f182962b0f20
42,XXXTENTACION,changes,7AFASza1mXqntmGtbxXprO,87,0.883,0.669,121887,0.308,0.0,B,0.0984,-10.068,Minor,0.029,64.934,4,0.52,15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop']",98,https://i.scdn.co/image/80eeb2600b7b7eddbef44bcc1fbc87aac9ab2e59
43,YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,83,0.00552,0.745,237240,0.346,0.0,"C♯, D♭",0.0881,-7.709,Minor,0.331,203.911,4,0.112,0A0FS04o6zMoto8OKPsDwY,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",83,https://i.scdn.co/image/69e3c869c17a25a287a5fc0b1af1e5607363053d
44,Lil Uzi Vert,New Patek,0Fpen1PTuEnCmOJtUU9Iud,83,0.0367,0.85,343099,0.785,0.0,"G♯, A♭",0.155,-4.963,Major,0.345,145.063,4,0.718,4O15NlyKLIASxsJ0PrXPfz,"['pop rap', 'rap', 'trap music']",89,https://i.scdn.co/image/17f68c8464b468546a6b0a717708842a3cc4b79d
45,Cardi B,I Like It,58q2HKrzhC3ozto2nDdN4z,89,0.099,0.816,253390,0.726,0.0,F,0.372,-3.998,Major,0.129,136.048,4,0.65,4kYSro6naA4h99UJvo89HB,"['pop', 'rap']",95,https://i.scdn.co/image/264e844105a9b9da0c3bc8b49eb40e3d61a49089
46,Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,89,0.117,0.587,218147,0.535,6.56e-05,F,0.131,-6.09,Major,0.0898,159.847,4,0.14,246dkjvS1zLTtiykXe5h60,"['pop', 'rap']",96,https://i.scdn.co/image/2ea5bde13cd67a16318e0f7fc6e2c37906ea6529
47,Lil Mosey,Noticed,6JQvHMSaR8flFsN53ypOfP,85,0.462,0.699,165000,0.558,0.0,B,0.116,-7.622,Minor,0.0603,79.992,4,0.493,5zctI4wO9XSKS8XwcnqEHk,"['rap', 'rap conscient', 'trap music', 'vapor trap']",81,https://i.scdn.co/image/15a0a3ffdcc83ce2f4e2c249f1f369cc63bfc147
48,6ix9ine,"MAMA (feat. Nicki Minaj, Kanye West)",1oJ8EDr2pv94IvSd6ZmDgo,85,0.0893,0.761,192405,0.672,9.77e-06,"C♯, D♭",0.14,-5.887,Minor,0.212,160.077,3,0.437,7gZfnEnfiaHzxARJ2LeXrf,['emo rap'],94,https://i.scdn.co/image/7d241987c2f5c33548644e6f85bd619aadae9822
49,Post Malone,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,87,0.58,0.739,221440,0.559,0.0,"G♯, A♭",0.112,-8.011,Minor,0.117,140.124,4,0.439,246dkjvS1zLTtiykXe5h60,"['pop', 'rap']",96,https://i.scdn.co/image/2ea5bde13cd67a16318e0f7fc6e2c37906ea6529
50,Eminem,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,87,0.0627,0.876,244679,0.786,0.0,"A♯, B♭",0.127,-4.884,Major,0.306,153.068,4,0.575,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",95,https://i.scdn.co/image/60c4daa4721f666c6afaee82a39bd413979a0474
51,6ix9ine,WAKA (feat. A Boogie Wit da Hoodie),6o79O9qBP3OAkWOXajAQIS,84,0.0834,0.772,128769,0.812,0.0,C,0.115,-3.995,Major,0.153,97.407,4,0.655,7gZfnEnfiaHzxARJ2LeXrf,['emo rap'],94,https://i.scdn.co/image/7d241987c2f5c33548644e6f85bd619aadae9822
52,Aminé,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,84,0.073,0.754,121347,0.342,0.0,"A♯, B♭",0.193,-8.677,Major,0.0991,128.981,4,0.423,3Gm5F95VdRxW3mqCn8RPBJ,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'rap']",80,https://i.scdn.co/image/c1ec6da0896ff7efe6fd63ea6894c0bf44dbfaf6
53,Lil Wayne,Mona Lisa (feat. Kendrick Lamar),0dbTQYW3Ad1FTzIA9t90E8,83,0.371,0.855,324189,0.694,0.0,D,0.109,-4.393,Minor,0.169,122.078,4,0.49,55Aa2cqylxrFIXC767Z865,"['hip hop', 'pop rap', 'rap']",92,https://i.scdn.co/image/3254e6574f08a55daaedceebd67f2721fffb57fe
54,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,88,0.0332,0.754,198973,0.449,8.29e-05,G,0.552,-9.211,Minor,0.109,77.169,4,0.357,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",100,https://i.scdn.co/image/012ecd119617ac24ab56620ace4b81735b172686
55,Lil Peep,Falling Down - Bonus Track,4jvjzW7Hm0yK4LvvE0Paz9,87,0.0175,0.669,196400,0.574,0.00294,E,0.146,-6.442,Major,0.0286,120.013,4,0.273,2kCcBybjl3SAtIcwdWpUe3,"['emo rap', 'lgbtq+ hip hop']",89,https://i.scdn.co/image/78e5cfd1a377b3d820d452c6b9e964f2e29c6430
56,Travis Scott,STARGAZING,7wBJfHzpfI3032CSD7CE2m,85,0.00947,0.487,270715,0.789,4.05e-06,"G♯, A♭",0.189,-3.69,Minor,0.044,150.007,4,0.0564,0Y5tJX1MQlPlqiwlOH1tJY,"['pop', 'pop rap', 'rap']",96,https://i.scdn.co/image/dc5eba5e032c2e5bc4d42c89d61ffee5875c981f
57,Billie Eilish,come out and play,7wC5eZcFS1Q1BsQ35DU6H4,87,0.693,0.64,210376,0.321,0.0307,C,0.114,-14.604,Minor,0.0931,145.045,4,0.177,6qqNVTkY8uBg9cP3Jd7DAH,"['dance pop', 'electropop', 'pop']",93,https://i.scdn.co/image/224ac4debc13b5e6d2887e524e47da5920551dc6
58,Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,83,0.0079,0.825,175954,0.572,0.0,"F♯, G♭",0.113,-6.067,Major,0.0864,141.991,4,0.568,6Xgp2XMz1fhVYe7i6yNAax,"['rap', 'trap music']",91,https://i.scdn.co/image/2f823529f36b5a5b5e3888aae597cdd6b010856e
59,Travis Scott,SICKO MODE - Skrillex Remix,0u695M7KyzXaPIjpEbxOkB,76,0.0184,0.636,304498,0.824,0.0,"C♯, D♭",0.136,-3.426,Minor,0.139,155.056,4,0.452,0Y5tJX1MQlPlqiwlOH1tJY,"['pop', 'pop rap', 'rap']",96,https://i.scdn.co/image/dc5eba5e032c2e5bc4d42c89d61ffee5875c981f
60,Bazzi,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,88,0.346,0.638,180000,0.717,0.0,D,0.105,-4.722,Minor,0.0337,100.027,4,0.249,4GvEc3ANtPPjt1ZJllr5Zl,"['dance pop', 'pop', 'post-teen pop', 'rap']",84,https://i.scdn.co/image/352023cea50739e7b762ac5f895cfb1b1b506908
61,Travis Scott,YOSEMITE,7lAK3oHbfEnvUQWosrMMpR,84,0.283,0.785,150043,0.554,3.4e-06,C,0.116,-6.571,Minor,0.0409,128.047,4,0.144,0Y5tJX1MQlPlqiwlOH1tJY,"['pop', 'pop rap', 'rap']",96,https://i.scdn.co/image/dc5eba5e032c2e5bc4d42c89d61ffee5875c981f
62,Ariana Grande,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,88,0.04,0.699,205920,0.713,3.11e-06,A,0.294,-5.507,Major,0.0594,121.993,4,0.354,66CXWjxzNUsdJxJ2JdwvnR,"['dance pop', 'pop', 'post-teen pop']",97,https://i.scdn.co/image/25dd6de55a74237ae84e1b53e083bbd5aadade39
63,Zara Larsson,Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,89,0.423,0.665,190932,0.699,0.0,B,0.0969,-5.265,Minor,0.0578,124.896,4,0.585,1Xylc3o4UrD53lo9CvFvVg,"['dance pop', 'edm', 'electropop', 'pop', 'post-teen pop', 'swedish electropop', 'swedish pop', 'tropical house']",85,https://i.scdn.co/image/239ab578b400c47a455df2bb945ac81c180db2bc
64,Lil Wayne,Uproar,3wScL5W8H40zzCKN0atfBk,82,0.0595,0.743,194184,0.87,0.0,"C♯, D♭",0.299,-2.188,Minor,0.212,99.075,4,0.884,55Aa2cqylxrFIXC767Z865,"['hip hop', 'pop rap', 'rap']",92,https://i.scdn.co/image/3254e6574f08a55daaedceebd67f2721fffb57fe
65,BlocBoy JB,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,84,0.00104,0.922,181263,0.581,5.86e-05,"A♯, B♭",0.105,-7.495,Minor,0.27,140.022,4,0.595,4TEJudQY2pXxVHPE3gD2EU,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'vapor trap']",79,https://i.scdn.co/image/6b7a1cdbf9ebfd3ca696d597136b51fbf8d15471
66,Lil Baby,Time (feat. Meek Mill),1Szfm2XAx3Kgl55dyl8sTU,76,0.0438,0.785,182723,0.495,0.0,"G♯, A♭",0.218,-8.844,Minor,0.586,95.348,4,0.342,5f7VJjfbwm532GiveGC0ZK,"['atl hip hop', 'pop rap', 'rap', 'trap music']",93,https://i.scdn.co/image/403df12fa0cc0bfead6a0150e1c47e6d2dfce21e
67,Lil Baby,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,75,0.00163,0.964,154024,0.496,5.04e-06,"C♯, D♭",0.115,-6.114,Minor,0.424,127.036,4,0.107,5f7VJjfbwm532GiveGC0ZK,"['atl hip hop', 'pop rap', 'rap', 'trap music']",93,https://i.scdn.co/image/403df12fa0cc0bfead6a0150e1c47e6d2dfce21e
68,Steve Aoki,Waste It On Me (feat. BTS),2r1T6xGTVaNAqBoPH4lZEE,86,0.252,0.669,192537,0.684,0.0,G,0.72,-4.595,Minor,0.0585,96.097,4,0.466,77AiFEVeAVj2ORpC85QVJs,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'tropical house']",84,https://i.scdn.co/image/9fb14e9cb53a341db6c4ef132e0c01f9c9a1dd40
69,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,84,0.0891,0.586,210747,0.909,0.000109,"G♯, A♭",0.119,-6.474,Minor,0.0705,93.394,4,0.757,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",100,https://i.scdn.co/image/012ecd119617ac24ab56620ace4b81735b172686
70,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,88,0.0969,0.574,182623,0.758,0.0,"C♯, D♭",0.395,-5.029,Major,0.0621,144.111,4,0.492,0X2BH1fck6amBIoJhDVmmJ,"['dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'tropical house']",84,https://i.scdn.co/image/dbe3b15594aa436d7952f86abef1c8f24e11a5aa
71,Metro Boomin,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ,82,0.588,0.81,208293,0.353,0.0,"F♯, G♭",0.102,-9.931,Major,0.31,88.031,4,0.0727,0iEtIxbK0KxaSlF7G42ZOp,"['hip hop', 'pop', 'pop rap', 'rap', 'trap music']",89,https://i.scdn.co/image/8986705c72b71411c261c0f9eb65b6a2c04cfe90
72,Ella Mai,Trip,6CTWathupIiDs7U4InHnDA,83,0.225,0.477,213993,0.61,0.0,B,0.107,-5.628,Major,0.144,79.882,4,0.358,7HkdQ0gt53LP4zmHsL0nap,"['indie r&b', 'pop', 'r&b', 'uk contemporary r&b', 'urban contemporary']",83,https://i.scdn.co/image/575a623d09d4b40a0c1e956ced7e7b0378e0e58a
73,6ix9ine,STOOPID,1jQvUmf16VE9WQCPuK2e8K,84,0.13,0.733,152000,0.63,0.0,B,0.162,-4.296,Minor,0.395,149.989,4,0.832,7gZfnEnfiaHzxARJ2LeXrf,['emo rap'],94,https://i.scdn.co/image/7d241987c2f5c33548644e6f85bd619aadae9822
